t              pw-in-box.fdtd_before_Ex_3_3_1.dat       incid
   0.57466862414534692E-008   0.119449561E-008   0.000000000E+000
   0.57620929069801541E-008   0.129188482E-008   0.000000000E+000
   0.57774995725068390E-008   0.901466291E-009   0.000000000E+000
   0.57929062380335239E-008   0.365361852E-009   0.000000000E+000
   0.58083129035602088E-008   0.132964362E-009   0.000000000E+000
   0.58237195690868937E-008   0.389669741E-009   0.000000000E+000
   0.58391262346135786E-008   0.905796660E-009   0.000000000E+000
   0.58545329001402635E-008   0.123584920E-008   0.000000000E+000
   0.58699395656669484E-008   0.110450527E-008   0.000000000E+000
   0.58853462311936333E-008   0.641385611E-009   0.000000000E+000
   0.59007528967203182E-008   0.255370114E-009   0.000000000E+000
   0.59161595622470031E-008   0.269280098E-009   0.000000000E+000
   0.59315662277736880E-008   0.649122978E-009   0.000000000E+000
   0.59469728933003729E-008   0.105641340E-008   0.000000000E+000
   0.59623795588270578E-008   0.115148446E-008   0.000000000E+000
   0.59777862243537427E-008   0.872949324E-009   0.000000000E+000
   0.59931928898804276E-008   0.469648542E-009   0.000000000E+000
   0.60085995554071125E-008   0.280794610E-009   0.000000000E+000
   0.60240062209337975E-008   0.454829785E-009   0.000000000E+000
   0.60394128864604824E-008   0.833502767E-009   0.000000000E+000
   0.60548195519871673E-008   0.109175824E-008   0.000000000E+000
   0.60702262175138522E-008   0.101563236E-008   0.000000000E+000
   0.60856328830405371E-008   0.681730061E-009   0.000000000E+000
   0.61010395485672220E-008   0.383349574E-009   0.000000000E+000
   0.61164462140939069E-008   0.371405434E-009   0.000000000E+000
   0.61318528796205918E-008   0.642014664E-009   0.000000000E+000
   0.61472595451472767E-008   0.953237267E-009   0.000000000E+000
   0.61626662106739616E-008   0.104272913E-008   0.000000000E+000
   0.61780728762006465E-008   0.847818538E-009   0.000000000E+000
   0.61934795417273314E-008   0.545049672E-009   0.000000000E+000
   0.62088862072540163E-008   0.390944832E-009   0.000000000E+000
   0.62242928727807012E-008   0.506906739E-009   0.000000000E+000
   0.62396995383073861E-008   0.785074783E-009   0.000000000E+000
   0.62551062038340710E-008   0.986442372E-009   0.000000000E+000
   0.62705128693607559E-008   0.944952006E-009   0.000000000E+000
   0.62859195348874408E-008   0.704936109E-009   0.000000000E+000
   0.63013262004141257E-008   0.476716000E-009   0.000000000E+000
   0.63167328659408106E-008   0.452150789E-009   0.000000000E+000
   0.63321395314674955E-008   0.642644438E-009   0.000000000E+000
   0.63475461969941804E-008   0.877893314E-009   0.000000000E+000
   0.63629528625208653E-008   0.958594537E-009   0.000000000E+000
   0.63783595280475502E-008   0.825045199E-009   0.000000000E+000
