t              pw-in-box.fdtd_before_Ex_3_3_1.dat       incid
3.12755311931146836e-09   9.73528328379662591e-03   2.31788206693387764e-20
3.14295978492384008e-09   1.28419938176194039e-02   7.60255532733913842e-21
3.15836645053621180e-09   9.43276829913218193e-03   2.46007562893134830e-21
3.17377311614858351e-09   -5.40039541033387333e-04   7.85295746623689944e-22
3.18917978176095523e-09   -1.29777685457350411e-02   2.47293817062448555e-22
3.20458644737332695e-09   -2.11490991561936459e-02   7.68272200769254261e-23
3.21999311298569866e-09   -1.92559427872535417e-02   2.35457367942785649e-23
3.23539977859807079e-09   -6.20841703401943043e-03   7.11875480726706504e-24
3.25080644421044251e-09   1.27312284563341795e-02   2.12333690923845322e-24
3.26621310982281423e-09   2.78693295292178726e-02   6.24781921868964709e-25
3.28161977543518594e-09   3.00291250366039077e-02   1.81355996163010995e-25
3.29702644104755766e-09   1.60255768603719990e-02   5.19349632782080370e-26
3.31243310665992937e-09   -8.55906785953634841e-03   1.46717444669459681e-26
3.32783977227230109e-09   -3.13705060019905460e-02   4.08880982595717467e-27
3.34324643788467281e-09   -3.95285677769713212e-02   1.12418523897401993e-27
3.35865310349704494e-09   -2.69732731691298584e-02   3.04910362402780030e-28
3.37405976910941665e-09   1.30184209038185922e-03   8.15828761335318512e-29
3.38946643472178837e-09   3.09851799792095761e-02   2.15354057101696007e-29
3.40487310033416009e-09   4.57679345536593854e-02   5.60789332642263281e-30
3.42027976594653180e-09   3.64996394791797032e-02   1.44058278332782135e-30
3.43568643155890352e-09   6.96489449146079145e-03   3.65094564396517262e-31
3.45109309717127524e-09   -2.74041425486693767e-02   9.12776464731786547e-32
3.46649976278364695e-09   -4.76778687527714962e-02   2.25120236454350531e-32
3.48190642839601867e-09   -4.21333783669560064e-02   5.47765664651833464e-33
3.49731309400839080e-09   -1.33543535802429017e-02   1.31481985381473902e-33
3.51271975962076252e-09   2.27056111380650114e-02   3.11335009924556553e-34
3.52812642523313423e-09   4.55898997207000584e-02   7.27313041160409502e-35
3.54353309084550595e-09   4.22371615433103781e-02   1.67612036586912380e-35
3.55893975645787766e-09   1.48892841497830011e-02   3.81046952116281721e-36
3.57434642207024938e-09   -1.99657387347262627e-02   8.54643656119445216e-37
3.58975308768262110e-09   -4.13502859117438892e-02   1.89095538729378436e-37
3.60515975329499281e-09   -3.65947687197327939e-02   4.12730089828793012e-38
3.62056641890736494e-09   -9.33529250524097604e-03   8.88762867529796619e-39
3.63597308451973666e-09   2.25166000684130854e-02   1.88796740694260817e-39
3.65137975013210838e-09   3.79812264027635099e-02   3.95631515565967457e-40
3.66678641574448009e-09   2.66310130491281168e-02   8.17944543337793842e-41
3.68219308135685181e-09   -4.09248870120831887e-03   1.66818738360590156e-41
3.69759974696922353e-09   -3.30310273412797173e-02   3.35623788471631126e-42
3.71300641258159524e-09   -3.89331017294831591e-02   6.66191285301086592e-43
3.72841307819396696e-09   -1.51507307661502971e-02   1.30446461270151313e-43
3.74381974380633868e-09   2.43775046595745420e-02   2.51971660998411231e-44
3.75922640941871039e-09   5.26852337198881193e-02   4.80187847365063701e-45
3.77463307503108211e-09   4.70979587944115249e-02   9.02727976570617543e-46
3.79003974064345382e-09   5.61346335792810291e-03   1.67412456995992771e-46
3.80544640625582554e-09   -4.88526874759366778e-02   3.06309532108541178e-47
3.82085307186819808e-09   -8.06548562314580442e-02   5.52864407659532973e-48
3.83625973748056980e-09   -6.38440689410893353e-02   9.84375848027502017e-49
3.85166640309294152e-09   -1.09981929044042359e-03   1.72920701567683968e-49
3.86707306870531323e-09   7.38698415041741385e-02   2.99652214569186549e-50
3.88247973431768495e-09   1.14129921935791426e-01   5.12237343849560067e-51
3.89788639993005667e-09   8.83541893341982937e-02   8.63914166331935799e-52
3.91329306554242838e-09   3.23400164230432108e-03   1.43732004257691740e-52
3.92869973115480010e-09   -9.58520635143902816e-02   2.35894943635671690e-53
3.94410639676717182e-09   -1.48902396176148061e-01   3.81971827028089813e-54
3.95951306237954353e-09   -1.17492948247605117e-01   6.10135931196015535e-55
3.97491972799191525e-09   -1.13700468048877762e-02   9.61397824374411955e-56
3.99032639360428697e-09   1.12465938454046371e-01   1.49461452365543364e-56
