t              pw-in-box.fdtd_after_Ex_3_3_5.dat       incid
5.59261961729095044e-09   -7.36041802015784175e-01   1.06002657083640641e-160
5.60802628290332215e-09   -7.36077357735178683e-01   4.45631280444726812e-162
5.62343294851569387e-09   -7.36091993510938347e-01   1.84789969082009830e-163
5.63883961412806559e-09   -7.36075788306185141e-01   7.55816866702086093e-165
5.65424627974043813e-09   -7.36038422190962494e-01   3.05062968419013996e-166
5.66965294535280985e-09   -7.36003422795896145e-01   1.21451996450838194e-167
5.68505961096518156e-09   -7.35993360812079334e-01   4.76928764013493224e-169
5.70046627657755328e-09   -7.36015303772834972e-01   1.84816373891673388e-170
5.71587294218992500e-09   -7.36055896885721150e-01   7.06428243054608012e-172
5.73127960780229671e-09   -7.36089468793898694e-01   2.66334582330077974e-173
5.74668627341466843e-09   -7.36094257308398281e-01   0.00000000000000000e+00
5.76209293902704015e-09   -7.36066505386677727e-01   0.00000000000000000e+00
