t              twoWires.fdtd_Bulk probe_Jx_15_11_13__15_13_17.dat
   0.73304000326387952E-009   0.721724375E-015
   0.73458000327073641E-009   0.831645429E-015
   0.73612000327759330E-009   0.957949900E-015
   0.73766000328445019E-009   0.110302536E-014
   0.73920000329130708E-009   0.126959841E-014
   0.74074000329816397E-009   0.146078233E-014
   0.74228000330502086E-009   0.168013093E-014
   0.74382000331187775E-009   0.193169824E-014
   0.74536000331873464E-009   0.222010851E-014
   0.74690000332559153E-009   0.255063304E-014
   0.74844000333244842E-009   0.292927858E-014
   0.74998000333930531E-009   0.336288830E-014
   0.75152000334616220E-009   0.385925490E-014
   0.75306000335301909E-009   0.442724979E-014
   0.75460000335987598E-009   0.507696344E-014
   0.75614000336673287E-009   0.581987529E-014
   0.75768000337358976E-009   0.666903683E-014
   0.75922000338044665E-009   0.763928088E-014
   0.76076000338730354E-009   0.874745917E-014
   0.76230000339416043E-009   0.100127096E-013
   0.76384000340101732E-009   0.114567525E-013
   0.76538000340787421E-009   0.131042443E-013
   0.76692000341473110E-009   0.149831455E-013
   0.76846000342158799E-009   0.171251664E-013
   0.77000000342844488E-009   0.195662476E-013
   0.77154000343530177E-009   0.223471042E-013
   0.77308000344215866E-009   0.255138572E-013
   0.77462000344901555E-009   0.291187193E-013
   0.77616000345587244E-009   0.332207847E-013
   0.77770000346272933E-009   0.378868893E-013
   0.77924000346958622E-009   0.431926494E-013
   0.78078000347644311E-009   0.492234969E-013
   0.78232000348330000E-009   0.560760138E-013
   0.78386000349015689E-009   0.638592572E-013
   0.78540000349701378E-009   0.726963859E-013
   0.78694000350387067E-009   0.827264011E-013
   0.78848000351072756E-009   0.941061600E-013
   0.79002000351758445E-009   0.107012496E-012
   0.79156000352444134E-009   0.121644882E-012
   0.79310000353129823E-009   0.138227984E-012
   0.79464000353815512E-009   0.157015026E-012
   0.79618000354501200E-009   0.178291084E-012
   0.79772000355186889E-009   0.202377110E-012
   0.79926000355872578E-009   0.229634183E-012
   0.80080000356558267E-009   0.260468594E-012
   0.80234000357243956E-009   0.295336943E-012
   0.80388000357929645E-009   0.334752679E-012
   0.80542000358615334E-009   0.379292626E-012
   0.80696000359301023E-009   0.429604513E-012
   0.80850000359986712E-009   0.486415541E-012
   0.81004000360672401E-009   0.550542034E-012
   0.81158000361358090E-009   0.622899627E-012
   0.81312000362043779E-009   0.704515005E-012
   0.81466000362729468E-009   0.796539267E-012
   0.81620000363415157E-009   0.900262287E-012
   0.81774000364100846E-009   0.101712866E-011
   0.81928000364786535E-009   0.114875655E-011
